Switzerland,8,10,29,16,13,55,2,0,619,523,84,1
Poland,5,12,20,14,5,45,2,0,502,407,81,1
Wales,1,3,7,8,0,56,2,0,419,312,74,2
Northern Ireland,3,1,5,19,6,44,2,0,318,224,70,0
Croatia,0,14,17,12,6,59,0,0,713,580,81,0
Portugal,2,4,6,28,2,41,1,0,498,371,74,2
France,11,8,25,8,9,67,2,0,530,454,86,2
Rep. Of Ireland,1,4,6,12,1,33,3,1,266,165,62,0
Germany,7,8,21,14,8,60,2,0,589,512,87,2
Slovakia,2,5,7,12,1,40,2,0,391,320,82,0
Hungary,6,7,16,12,6,54,4,0,484,413,85,0
Belgium,14,8,25,10,8,46,3,0,414,341,82,2
Italy,7,2,11,19,5,40,3,0,387,300,78,2
Spain,5,7,14,13,9,60,4,0,553,468,85,0
England,4,11,18,6,7,68,1,0,519,445,86,0
Iceland,5,3,8,15,2,32,2,0,250,158,63,2
Poland,5,6,15,16,2,51,3,0,648,533,82,1
Portugal,5,5,19,11,7,49,2,0,576,480,83,1
Wales,7,5,15,12,7,46,4,0,422,357,85,2
Belgium,5,7,14,8,8,54,2,0,476,411,86,0
France,8,4,15,8,4,60,1,0,641,579,90,2
Iceland,5,5,11,11,4,40,1,0,403,337,84,0
Portugal,6,9,18,10,6,43,2,0,392,325,83,2
Wales,3,4,9,12,2,57,3,0,510,441,86,0
Germany,5,8,18,8,6,67,4,0,641,566,88,0
France,6,6,16,12,5,33,2,0,301,234,78,2
Portugal,3,6,10,12,5,43,6,0,577,481,83,2
France,7,6,18,13,9,57,4,0,724,643,89,0
France,5,7,14,6,5,64,1,0,541,432,80,2
Romania,2,5,10,14,4,36,3,0,288,179,62,0
Albania,2,2,7,10,5,43,5,1,415,348,84,0
Switzerland,7,5,15,17,4,57,2,0,554,486,88,2
Wales,8,3,11,17,2,42,0,0,370,269,73,2
Slovakia,3,7,13,16,3,58,5,0,503,411,82,0
England,5,8,15,10,6,52,1,0,449,367,82,1
Russia,2,3,6,16,4,48,1,0,417,319,76,1
Turkey,2,4,9,13,3,51,3,0,404,307,76,0
Croatia,6,11,19,15,5,49,1,0,359,279,78,2
Poland,4,7,18,11,8,65,2,0,503,432,86,2
Northern Ireland,0,1,2,12,1,35,1,0,274,175,64,0
Germany,9,5,18,9,6,68,0,0,675,597,88,2
Ukraine,3,1,5,9,12,32,1,0,300,205,68,0
Spain,5,8,18,11,14,72,0,0,696,618,89,2
Czech Republic,3,1,6,12,3,28,1,0,275,177,64,0
Rep. Of Ireland,4,5,9,11,5,43,2,0,315,202,64,1
Sweden,0,5,7,15,5,57,1,0,420,311,74,1
Belgium,3,6,18,10,8,56,1,0,525,445,85,0
Italy,6,3,12,12,6,44,4,0,412,320,78,2
Austria,3,7,14,10,4,51,2,1,428,313,73,0
Hungary,7,5,14,16,4,49,1,0,398,298,75,2
Portugal,9,8,26,9,11,72,0,0,623,553,89,1
Iceland,4,0,4,17,2,28,2,0,245,140,57,1
Russia,2,7,15,8,6,65,0,0,559,475,85,0
Slovakia,3,4,9,12,5,35,1,0,305,221,72,2
Romania,3,6,14,23,4,33,4,0,266,173,65,1
Switzerland,6,9,19,11,7,67,2,0,545,456,84,1
France,2,12,22,16,6,59,1,0,529,465,88,2
Albania,0,4,8,13,4,41,2,0,363,264,73,0
England,5,9,20,10,9,69,0,0,512,435,85,2
Wales,2,5,8,9,3,31,1,0,218,137,63,0
Ukraine,4,7,15,14,2,69,2,0,535,442,83,0
Northern Ireland,7,3,13,14,3,31,3,0,232,130,56,2
Germany,3,10,16,14,8,68,3,0,611,522,85,1
Poland,0,3,7,9,2,32,3,0,276,185,67,1
Italy,3,3,8,16,7,49,2,0,446,354,79,2
Sweden,0,3,4,14,4,51,1,0,459,369,80,0
Czech Republic,4,0,7,15,2,45,1,0,350,254,73,1
Croatia,5,8,17,13,11,55,3,0,424,330,78,1
Spain,6,8,18,15,7,61,1,0,706,636,90,2
Turkey,0,7,8,13,3,39,2,0,438,361,82,0
Belgium,7,8,17,8,5,57,1,0,469,402,86,2
Rep. Of Ireland,0,6,10,10,4,43,1,0,352,276,78,0
Iceland,2,2,8,15,3,28,3,0,260,158,61,1
Hungary,4,5,12,15,5,72,3,0,642,544,85,1
Portugal,6,11,23,15,10,59,2,0,534,448,84,1
Austria,1,3,4,16,0,41,4,0,375,283,75,1
Switzerland,0,3,6,9,5,58,0,0,505,444,88,1
France,4,5,14,10,10,42,2,0,353,283,80,1
Romania,3,8,16,14,2,62,3,0,518,431,83,0
Albania,5,7,14,12,6,38,3,0,302,221,73,2
Slovakia,2,2,4,7,0,39,1,0,391,308,79,1
England,5,11,29,12,11,61,1,0,575,513,89,1
Russia,2,6,12,9,4,49,1,0,437,358,82,0
Wales,12,4,19,6,5,51,1,0,476,398,84,2
Ukraine,4,9,19,23,3,66,2,0,573,475,83,0
Poland,3,4,9,12,2,34,1,0,295,194,66,2
Northern Ireland,1,0,2,10,3,21,0,0,199,111,56,0
Germany,9,14,28,8,6,79,0,0,724,650,90,2
Croatia,4,7,13,10,3,31,4,0,311,239,77,2
Spain,3,6,15,11,7,69,0,0,674,617,92,0
Czech Republic,5,7,13,16,8,54,3,0,393,297,76,0
Turkey,2,6,9,14,3,46,2,0,351,249,71,2
Hungary,5,3,9,15,3,36,4,0,307,233,76,1
