ID,HOME,AWAY
152569,1,1
152570,1,0
152571,0,1
152572,2,1
152573,3,0
152574,0,4
152575,2,0
152576,1,2
152577,1,1
152578,3,1
152579,1,1
152580,5,2
152581,2,0
152582,0,2
152583,1,0
152584,2,1
152585,0,1
152586,2,1
152587,1,1
152588,0,1
152589,1,0
152590,2,0
152591,1,0
152592,1,1
152593,0,2
152594,0,2
152595,1,1
152596,1,2
152597,1,1
152598,2,0
152599,2,1
152600,0,2
152601,0,0
152602,1,0
152603,2,2
152604,3,0
152605,3,0
152606,1,1
152607,0,0
152608,0,0
152609,0,1
152610,0,0
152611,0,3
152612,0,1
152613,0,1
152614,2,1
152615,0,2
152616,3,3
152617,2,1
152618,0,1
152619,0,1
